trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23481693,7/1/2019 7:48,7/1/2019 7:54,96,324,77,Clinton St & Madison St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1954
23481694,7/1/2019 7:48,7/1/2019 8:05,3412,"1,034.00",91,Clinton St & Washington Blvd,383,Paulina St & Flournoy St,Subscriber,Male,1944
23481695,7/1/2019 7:48,7/1/2019 7:51,614,172,195,Columbus Dr & Randolph St,44,State St & Randolph St,Subscriber,Male,1994
23481696,7/1/2019 7:48,7/1/2019 8:03,1214,885,29,Noble St & Milwaukee Ave,287,Franklin St & Monroe St,Subscriber,Male,1984
23481698,7/1/2019 7:48,7/1/2019 7:57,3847,496,284,Michigan Ave & Jackson Blvd,164,Franklin St & Lake St,Subscriber,Male,1966
23481699,7/1/2019 7:48,7/1/2019 8:00,1817,719,508,Central Park Ave & North Ave,518,Conservatory Dr & Lake St,Subscriber,Female,1977
23481702,7/1/2019 7:48,7/1/2019 7:57,5111,531,277,Ashland Ave & Grand Ave,56,Desplaines St & Kinzie St,Customer,Male,1989
23481704,7/1/2019 7:49,7/1/2019 8:53,5304,"3,870.00",582,Phillips Ave & 83rd St,588,South Chicago Ave & 83rd St,Subscriber,,1979
23481705,7/1/2019 7:49,7/1/2019 8:05,6197,966,343,Racine Ave & Wrightwood Ave,181,LaSalle St & Illinois St,Subscriber,Male,1994
23481706,7/1/2019 7:49,7/1/2019 7:54,6115,336,91,Clinton St & Washington Blvd,134,Peoria St & Jackson Blvd,Subscriber,Male,1976
23481707,7/1/2019 7:49,7/1/2019 7:52,3520,223,256,Broadway & Sheridan Rd,165,Clark St & Grace St,Subscriber,Male,1965
23481708,7/1/2019 7:49,7/1/2019 8:14,2288,"1,494.00",58,Marshfield Ave & Cortland St,81,Daley Center Plaza,Subscriber,Male,1966
23481709,7/1/2019 7:49,7/1/2019 7:53,4077,240,153,Southport Ave & Wellington Ave,115,Sheffield Ave & Wellington Ave,Subscriber,Male,1996
23481710,7/1/2019 7:49,7/1/2019 7:56,6463,436,364,Larrabee St & Oak St,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1989
23481711,7/1/2019 7:49,7/1/2019 7:54,2615,329,621,Aberdeen St & Randolph St,107,Desplaines St & Jackson Blvd,Subscriber,Male,1986
